ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PEDIATRICA	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PEDIATRICA	CAMPINAS	Prata QC	RUA AMERICANA 127	JARDIM NOVO CAMPOS ELISEOS	13050551	19-32275711;	
ANA PAULA CAMPOS MELRO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PEDIATRICA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 295	CENTRO	13013160	19-35125080;	CRM-SP 82303
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PEDIATRICA	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA AMERICANA 127	JARDIM NOVO CAMPOS ELISEOS	13050551	19-32275711;	
BENOAR PAIVA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA DOUTOR ALEXANDER FLEMING 784	NOVA CAMPINAS	13092140		CRM-SP 78570
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CL OTORRINO.E CIR.BUCO MAXILO FACIAIS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA BARATA RIBEIRO 79	CENTRO	13015097	19-32322665;19-32333577;	CRM-SP 94334
CLIN FRANCO OFTALM E CIRURGIA PLASTICA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA VISCONDESSA DE CAMPINAS 45	NOVA CAMPINAS	13092135	19-30271927;	
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
